center,area,orientation,poly,id,potential_output
"(11.45789345, 48.813227700000006)",324.0636227889918,,"[(11.4577641, 48.8133042), (11.4577677, 48.8131487), (11.4580228, 48.8131512), (11.4580192, 48.8133067), (11.4577641, 48.8133042)]",oberbayern-houses_506,48159.90514172904
"(11.465801407386936, 48.1511943246822)",315.7444417607039,,"[(11.465712, 48.151299), (11.465896, 48.151297), (11.4658908, 48.1510896), (11.4657068, 48.1510917), (11.465712, 48.151299)]",oberbayern-houses_951,48060.25084150114
"(11.45049645, 48.81595110000001)",322.7493610866368,,"[(11.4504244, 48.8160591), (11.4503686, 48.8158685), (11.4505685, 48.8158431), (11.4506243, 48.8160337), (11.4504244, 48.8160591)]",oberbayern-houses_437,47855.661515121064
"(11.67892900142909, 48.06907980907146)",315.6585915302858,,"[(11.6788192, 48.0691658), (11.6788111, 48.0689987), (11.6790388, 48.0689938), (11.6790469, 48.0691609), (11.6789603, 48.0691628), (11.6788192, 48.0691658)]",oberbayern-houses_183,47372.46312390763
"(11.451668175616371, 48.812040355497885)",314.917270607315,,"[(11.451552, 48.8121231), (11.4515431, 48.8119635), (11.4517843, 48.8119576), (11.4517933, 48.8121172), (11.451552, 48.8121231)]",oberbayern-houses_206,46800.6428781296
"(11.445757378886446, 48.81365545281801)",312.2667910568416,,"[(11.4456274, 48.8137378), (11.4455872, 48.8136162), (11.4458873, 48.8135731), (11.4459276, 48.8136947), (11.4456274, 48.8137378)]",oberbayern-houses_479,46406.74848593487
"(11.701153937484682, 47.8972227144691)",311.1223468456301,,"[(11.7009904, 47.8973046), (11.7011144, 47.8973032), (11.7011136, 47.8972727), (11.7013068, 47.8972705), (11.7013038, 47.8971477), (11.7010693, 47.8971503), (11.7010709, 47.8972148), (11.7009882, 47.8972157), (11.7009904, 47.8973046)]",oberbayern-houses_731,46376.67482667674
"(11.449740573511443, 48.81323694382408)",311.7247510328889,,"[(11.4498642, 48.8133147), (11.4498414, 48.813146), (11.4496169, 48.8131592), (11.4496398, 48.8133279), (11.4498642, 48.8133147)]",oberbayern-houses_229,46326.1945628752
"(11.45022817179589, 48.81605984500787)",311.6521219983697,,"[(11.4501328, 48.8161527), (11.4500859, 48.8159983), (11.4503236, 48.815967), (11.4503704, 48.8161214), (11.4501328, 48.8161527)]",oberbayern-houses_436,46210.21838930826
"(11.6852166, 48.228080049999996)",304.5076267232653,,"[(11.6850966, 48.2281568), (11.6850996, 48.2280013), (11.6853366, 48.2280033), (11.6853336, 48.2281588), (11.6850966, 48.2281568)]",oberbayern-houses_987,46075.81026856408
"(11.449335572782841, 48.8162704450541)",310.4897047765553,,"[(11.4492282, 48.8163573), (11.449197, 48.8162055), (11.449443, 48.8161836), (11.4494741, 48.8163354), (11.4492282, 48.8163573)]",oberbayern-houses_433,46037.86097574374
"(11.446084699999998, 48.815285550000006)",305.9165196456015,,"[(11.4462399, 48.8153359), (11.4459638, 48.815367), (11.4459295, 48.8152352), (11.4462056, 48.8152041), (11.4462399, 48.8153359)]",oberbayern-houses_382,45359.77195045156
"(11.45589923924752, 48.814124670433785)",304.62269172957167,,"[(11.4557719, 48.8141974), (11.4560204, 48.8142019), (11.4560266, 48.8140519), (11.455778, 48.8140475), (11.4557719, 48.8141974)]",oberbayern-houses_493,45270.739774660964
"(11.454096849999996, 48.81529704999999)",303.8333221375942,,"[(11.4540051, 48.8153963), (11.4539215, 48.815284), (11.4541886, 48.8151978), (11.4542722, 48.8153101), (11.4540051, 48.8153963)]",oberbayern-houses_530,45050.88583995178
"(11.445891600000001, 48.81401535)",300.59966972470284,,"[(11.4457697, 48.8140975), (11.4457288, 48.8139741), (11.4460135, 48.8139332), (11.4460544, 48.8140566), (11.4457697, 48.8140975)]",oberbayern-houses_477,44672.868416962396
"(11.446926719333872, 48.814452597912606)",299.9452691823244,,"[(11.4467943, 48.8145409), (11.446768, 48.8144473), (11.4468852, 48.814433), (11.4468665, 48.8143665), (11.4470197, 48.8143478), (11.4470647, 48.814508), (11.4467943, 48.8145409)]",oberbayern-houses_463,44575.61631635818
"(11.44908024416235, 48.81321952889338)",299.22672516293824,,"[(11.4489552, 48.8132863), (11.4490668, 48.8133542), (11.44918, 48.8132581), (11.4491612, 48.8131055), (11.4490081, 48.813106), (11.4490153, 48.8132242), (11.4489552, 48.8132863)]",oberbayern-houses_230,44468.831693277156
